"questionNumber","question","expectedIntent","actualIntent","expectedTool","actualTool","expectedAnswerMode","actualAnswerMode","expectedSource","actualSource","pass"
"1","¿Qué puedes hacer dentro de Quiksol?","assistant_help","assistant_help","getAssistantHelp","getAssistantHelp","help","help","assistant_policy","assistant_policy","true"
"2","¿Cómo puedo usar el asistente para buscar oportunidades de venta?","assistant_usage_help","assistant_usage_help","getAssistantHelp","getAssistantHelp","help","help","assistant_policy","assistant_policy","true"
"3","¿Qué fuentes de datos puedes consultar y cuáles no?","assistant_data_sources","assistant_data_sources","getAssistantHelp","getAssistantHelp","help","help","assistant_policy","assistant_policy","true"
"4","¿Cuál es la diferencia entre una respuesta basada en datos y una respuesta generada con IA?","response_type_explanation","response_type_explanation","getAssistantHelp","getAssistantHelp","concept_explanation","concept_explanation","assistant_policy","assistant_policy","true"
"5","Tengo un problema con unas partes, ¿qué debería revisar?","clarification_required","clarification_required","clarificationRequired","clarificationRequired","clarify","clarify","assistant_policy","assistant_policy","true"
"6","¿Qué haces cuando no encuentras información suficiente?","insufficient_information_policy","insufficient_information_policy","getAssistantHelp","getAssistantHelp","no_data","no_data","assistant_policy","assistant_policy","true"
"7","¿Qué MPN tienen stock disponible?","stock","stock","getStockNeedsSummary","getStockNeedsSummary","list","list","stock_needs","stock_needs","true"
"8","Busca el MPN 0007-QA-006.","mpn_search","mpn_search","getRecordsByMpn","getRecordsByMpn","item_detail","item_detail","authorized_database","authorized_database","true"
"9","Busca el MPN ALPHA-7B-007.","mpn_search","mpn_search","getRecordsByMpn","getRecordsByMpn","item_detail","item_detail","authorized_database","authorized_database","true"
"10","¿Cuánta disponibilidad utilizable tiene el MPN 0007-QA-006?","opportunity_item_availability","opportunity_item_availability","getOpportunityFinderItemDetail","getOpportunityFinderItemDetail","item_detail","item_detail","opportunity_finder","opportunity_finder","true"
"11","¿Qué MPN tienen faltante de stock?","stock_shortage","stock_shortage","getStockShortageSummary","getStockShortageSummary","list","list","stock_needs","stock_needs","true"
"12","¿Qué piezas aparecen con stock cero?","zero_stock","zero_stock","getZeroStockSummary","getZeroStockSummary","list","list","stock_needs","stock_needs","true"
"13","¿Qué piezas tienen cantidades inválidas?","opportunity_invalid_quantity","opportunity_invalid_quantity","getOpportunityFinderSummary","getOpportunityFinderSummary","list","list","opportunity_finder","opportunity_finder","true"
"14","¿Hay inventario sin demanda?","opportunity_supply_without_demand","opportunity_supply_without_demand","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"15","¿Cuál es la diferencia entre stock total y disponibilidad utilizable?","stock_concept_help","stock_concept_help","getStockConceptHelp","getStockConceptHelp","concept_explanation","concept_explanation","assistant_policy","assistant_policy","true"
"16","¿De qué fuente salió tu respuesta sobre el stock?","response_source_explanation","response_source_explanation","getAssistantSourceHelp","getAssistantSourceHelp","help","help","stock_needs","stock_needs","true"
"17","Resume la última comparación completada del Buscador de oportunidades.","opportunity_finder_summary","opportunity_finder_summary","getOpportunityFinderSummary","getOpportunityFinderSummary","summary","summary","opportunity_finder","opportunity_finder","true"
"18","¿Cuántos MPN exactos hay en la comparación actual?","opportunity_exact_mpn","opportunity_exact_mpn","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"19","¿Cuántos MPN tienen disponibilidad utilizable?","opportunity_usable_availability","opportunity_usable_availability","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"20","¿Cuántos casos tienen cantidad exacta?","opportunity_exact_quantity","opportunity_exact_quantity","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"21","¿Cuántas ventas completas hay?","opportunity_full_sale","opportunity_full_sale","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"22","¿Cuántas ventas parciales hay?","opportunity_partial_sale","opportunity_partial_sale","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"23","¿Cuántos casos requieren sourcing?","opportunity_sourcing","opportunity_sourcing","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"24","¿Cuánto inventario sin demanda se detectó?","opportunity_supply_without_demand","opportunity_supply_without_demand","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"25","¿Cuántos casos requieren revisión?","opportunity_review_count","opportunity_review_count","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"26","¿Cuántas cantidades inválidas se detectaron?","opportunity_invalid_quantity","opportunity_invalid_quantity","getOpportunityFinderSummary","getOpportunityFinderSummary","count","count","opportunity_finder","opportunity_finder","true"
"27","Explícame qué significa coincidencia exacta de MPN.","opportunity_exact_mpn_help","opportunity_exact_mpn_help","getOpportunityFinderHelp","getOpportunityFinderHelp","concept_explanation","concept_explanation","opportunity_finder","opportunity_finder","true"
"28","Explícame qué significa disponibilidad utilizable.","opportunity_finder_help","opportunity_finder_help","getOpportunityFinderHelp","getOpportunityFinderHelp","concept_explanation","concept_explanation","opportunity_finder","opportunity_finder","true"
"29","Explícame qué significa cantidad exacta.","opportunity_exact_quantity_help","opportunity_exact_quantity_help","getOpportunityFinderHelp","getOpportunityFinderHelp","concept_explanation","concept_explanation","opportunity_finder","opportunity_finder","true"
"30","¿Por qué una venta completa no siempre es una cantidad exacta?","opportunity_full_vs_exact_help","opportunity_full_vs_exact_help","getOpportunityFinderHelp","getOpportunityFinderHelp","comparison_explanation","comparison_explanation","opportunity_finder","opportunity_finder","true"
