"dimension","score","maxScore","status","evidence","existingTests","risks","responsibleFiles"
"Seguridad y privacidad","19","20","strong-with-remote-verification-pending","Strict per-tool allowlists; exact mocked OpenAI snapshot excludes raw/internal/identity/finance/free-text fields; safe hashed logs; escaped untrusted-data prompt boundary; authenticated read-only clients; owner-only conversation RLS migration.","privacy-boundary.test.ts | safe-logging.test.ts | adversarial-intents.test.ts | performance-contracts.test.ts | acceptance-access-boundaries.test.ts | conversation-memory.test.ts","Conversation RLS/retention are not applied remotely; provider retention, remote environment and stdout retention are unverified.","lib/ai/tool-contracts.ts | lib/ai/safe-logging.ts | lib/ai/assistantCore.ts | lib/ai/database-tools.ts | lib/ai/conversation-memory.ts | supabase/migrations/20260730120000_ai_conversation_memory.sql"
"Integración con Opportunity Finder","13","15","strong-code-parity-visual-verification-pending","Authenticated owner-scoped V2 job/result reads with pipeline/status checks, safe filters and pagination; no matcher/write; explicit historical separation; Set 01 AI/CSV/XLSX code parity in ES/EN/ZH for 11/9/5/8/2/2/1/1/1.","opportunity-finder-tool.test.ts | opportunity-finder-set01-parity.test.ts | performance-contracts.test.ts | opportunity-finder tests","Artifact-tool workbook inspect/render was blocked; remote RLS and deployed UI/export parity are unverified.","lib/ai/opportunity-finder-tool.ts | lib/ai/ai-query-router.ts | lib/ai/intent-catalog.ts | lib/ai/database-tools.ts | lib/opportunity-finder/"
"Exactitud de intención","10","10","complete-code-and-tests","Central typed ES/EN/ZH catalog with priority, parameters, server tool, permission, examples, confidence, ambiguity clarification, fuzzy tolerance and text-safe MPN extraction.","intent-catalog.test.ts | ai-query-router.test.ts | adversarial-intents.test.ts | opportunity-finder-set01-parity.test.ts","Future business vocabulary requires catalog and regression-test maintenance.","lib/ai/intent-catalog.ts | lib/ai/ai-query-router.ts | lib/ai/language-detection.ts"
"Multidioma","9","10","strong-with-human-and-visual-review-pending","Deterministic help, Opportunity Finder, denial, empty, clarification, timeout, rate-limit, error and voice messages in ES/EN/ZH; question language wins UI fallback; equivalent intents return the same Set 01 counts.","language-detection.test.ts | intent-catalog.test.ts | opportunity-finder-set01-parity.test.ts | assistant route tests | voice route tests","Native-speaker review and browser visual rendering, including Chinese fonts, are unverified.","lib/ai/messages.ts | lib/ai/intent-catalog.ts | lib/ai/language-detection.ts | lib/ai/opportunity-finder-tool.ts | lib/voice/safety.ts | components/AIAssistantWidget.tsx"
"Robustez de API","9","10","strong-local-contracts","Strict request schemas and voice validation; mocked coverage for 400/401/403/404/413/422/429/502/503/504; no-store/no trace leakage; bounded timeouts, cancellation and retry policy.","request-schema.test.ts | timeouts.test.ts | app/api/assistant route and acceptance-status tests | voice route tests","Post-header SSE failures use terminal events; production proxy, connection cancellation and remote rate-limit storage are unverified.","lib/ai/request-schema.ts | lib/ai/timeouts.ts | lib/ai/assistantCore.ts | app/api/assistant/route.ts | app/api/ai/assistant/stream/route.ts | app/api/ai/voice/"
"Memoria, streaming y experiencia","9","10","strong-migration-and-visual-verification-pending","Owner-only additive memory schema; safe last-eight-message window; no-store CRUD APIs; ordered SSE progress/cancellation; history/delete/copy/source/evidence UI; dialog, focus trap, keyboard and emulated iPad RTL coverage.","conversation-memory.test.ts | conversations route tests | stream route tests | AIAssistantWidget.test.tsx","Migration/RLS are not executed remotely; browser visual and physical iPad behavior are unverified.","supabase/migrations/20260730120000_ai_conversation_memory.sql | lib/ai/conversation-memory.ts | app/api/ai/conversations/ | app/api/ai/assistant/stream/route.ts | components/AIAssistantWidget.tsx"
"Voz","4","5","hardened-not-real-device-or-provider-certified","Visible provider consent; early size/MIME/empty validation; timeouts, cancellation, no-store, sanitized TTS, text fallback and mocked ES/EN/ZH route/UI coverage.","transcription.test.ts | transcription-provider.test.ts | elevenlabs.test.ts | voice routes.test.ts | AiVoiceRecorder.test.tsx | AiAudioPlayer.test.tsx | AIAssistantWidget.test.tsx","Real OpenAI/ElevenLabs contracts and retention plus physical Safari/iPad/iPhone behavior are unverified.","lib/voice/safety.ts | lib/voice/transcription.ts | lib/voice/elevenlabs.ts | app/api/ai/voice/ | components/ai/ | components/AIAssistantWidget.tsx"
"Rendimiento","7","8","bounded-and-simulated","Persisted paginated Opportunity Finder reads; one bounded safe-field stock query with no raw payload or N+1; explicit context limits; mocked deterministic P95 below two seconds.","performance-contracts.test.ts | performance-p95.test.ts | opportunity-finder-tool.test.ts | stock-needs data-source tests","Production P95, database plans, concurrency and process memory are unmeasured.","lib/ai/opportunity-finder-tool.ts | lib/ai/database-tools.ts | lib/stock-needs/data-source.ts | lib/stock-needs/stock-needs.ts | lib/ai/assistantCore.ts"
"Observabilidad","4","5","strong-local-metrics-retention-not-applied","Sanitized success/error/timeout/rate/intent/tool/provider/latency/token/fallback/language/channel events; persisted info successes; warn failures counted; additive validated retention function without remote schedule.","safe-logging.test.ts | observability.test.ts | logger.test.ts | persistent-rate-limit.test.ts","Retention migration/scheduling, production dashboard completeness and remote log/provider metrics are unverified.","lib/ai/safe-logging.ts | lib/logger/logger.ts | lib/superadmin/metrics.ts | supabase/migrations/20260730123000_ai_observability_retention.sql"
"Pruebas y QA","6","7","strong-local-suite-with-external-verification-gaps","Final suite: 90 files/416 tests, 106 more than baseline; all required mocked categories, typecheck, lint and production build passed; Set 01 code parity passed without changing certified Opportunity Finder cases.","lib/ai/__tests__/ | app/api/assistant/__tests__/ | app/api/ai/assistant/stream/__tests__/ | app/api/ai/conversations/__tests__/ | app/api/ai/voice/__tests__/ | components/ai/__tests__/ | lib/opportunity-finder/__tests__/","Artifact-tool/browser visual runtime was blocked; remote RLS, providers, physical devices and production load are unverified.","lib/ai/__tests__/ | app/api/assistant/__tests__/ | app/api/ai/ | components/ai/__tests__/ | vitest.config.ts | package.json"
