"dimension","score","maxScore","status","evidence","existingTests","risks","responsibleFiles"
"Seguridad y privacidad","13","20","partial-high-risk","Server-side Supabase authentication and RLS; sensitive commercial requests blocked for all roles; browser receives summaries rather than full tool rows; LLM redaction remains blacklist-oriented and logs retain question/summary content.","assistantCore.test.ts | assistantCore-commercial-redaction.test.ts | ai-query-router-sensitive.test.ts | ai-permissions.test.ts | auth context tests","raw_value, UUID, email, filename and free text may reach OpenAI; business content may reach stdout; no explicit data prompt-injection boundary.","app/api/assistant/route.ts | lib/ai/assistantCore.ts | lib/ai/ai-query-router.ts | lib/ai/database-tools.ts | lib/security/permissions.ts | lib/auth/context.ts | lib/logger/logger.ts"
"Integración con Opportunity Finder","4","15","major-gap","Assistant provides a legacy aggregate opportunities summary, while the certified Finder exists independently; AI does not read persisted Finder jobs/results or the three exact-match indicators.","database-tools-opportunities.test.ts | opportunities.test.ts | opportunity-finder matcher and API tests","AI counts and meanings can disagree with UI, CSV and XLSX; historical aggregate data can be mistaken for the selected comparison.","lib/ai/ai-query-router.ts | lib/ai/database-tools.ts | lib/opportunities/opportunities.ts | lib/opportunity-finder/api.ts | lib/opportunity-finder/matcher.ts"
"Exactitud de intención","7","10","functional-with-gaps","Deterministic server routing covers sensitive, stock, opportunities, MPN, uploads, errors and dashboard; MPN text is preserved; routing is ordered regex without typed catalog, confidence or ambiguity handling.","ai-query-router.test.ts | ai-query-router-sensitive.test.ts | assistantCore.test.ts","Phrasing variation, mixed intents and unsupported languages can fall through to generic business-record search.","lib/ai/ai-query-router.ts | lib/ai/database-tools.ts | lib/ai/assistantCore.ts"
"Multidioma","6","10","partial","UI and basic detection support ES/EN/ZH and the prompt requests the selected language; deterministic summaries, denials and fallbacks are mostly Spanish, and Chinese routing is limited.","language-detection.test.ts | response-normalizer.test.ts","Equivalent ES/EN/ZH questions can select different tools or return Spanish output.","lib/ai/language-detection.ts | lib/ai/ai-query-router.ts | lib/ai/database-tools.ts | lib/ai/assistantCore.ts | lib/i18n.ts | components/LanguageProvider.tsx"
"Robustez de API","7","10","functional-with-gaps","Endpoints authenticate, rate-limit and provide safe provider fallback; no strict schema or 2000-character limit; invalid languages fall back; some internal failures become HTTP 200; no explicit provider/tool timeout.","assistantCore.test.ts | assistantCore-db-timeout.test.ts | persistent-rate-limit.test.ts | auth context tests","Oversized requests, ambiguous error semantics and unbounded slow providers.","app/api/assistant/route.ts | app/api/ai/voice/ask/route.ts | lib/ai/assistantCore.ts | lib/security/persistent-rate-limit.ts"
"Memoria, streaming y experiencia","3","10","major-gap","Responsive floating widget has messages, loading, reset and voice; state is local only; no conversation persistence, prior-message context, streaming, cancellation, copy, evidence indicators or complete dialog accessibility.","No dedicated pre-change widget RTL tests found.","Users may assume nonexistent memory; requests continue after close; incomplete screen-reader and keyboard support.","components/AIAssistantWidget.tsx | components/AppShell.tsx | app/api/assistant/route.ts | lib/ai/assistantCore.ts"
"Voz","4","5","functional-not-certified","Real MediaRecorder -> OpenAI transcription -> assistant -> ElevenLabs flow; MIME/size checks and text fallback exist; validation is late and consent, cancellation, timeouts and real-device certification are absent.","transcription.test.ts | elevenlabs.test.ts | voice-language.test.ts","Multipart memory pressure; unnecessary sensitive text may reach TTS; provider retention and physical Safari behavior unverified.","components/ai/AiVoiceRecorder.tsx | components/ai/AiAudioPlayer.tsx | app/api/ai/voice/ask/route.ts | lib/voice/transcription.ts | lib/voice/elevenlabs.ts"
"Rendimiento","5","8","partial","UI/LLM examples are capped and simple tools have limits; stock and legacy opportunity paths can fetch 100000-150000 rows, include raw payloads and run per-upload queries; no cache or P95 contract.","assistantCore-db-timeout.test.ts | database-tools-opportunities.test.ts | stock-needs data-source tests","High memory use, N+1 query pressure and unmeasured production latency.","lib/ai/database-tools.ts | lib/stock-needs/data-source.ts | lib/stock-needs/stock-needs.ts | lib/opportunities/opportunities.ts | lib/ai/assistantCore.ts"
"Observabilidad","3","5","partial-high-risk","Structured stages and timings exist; success info remains stdout-only, warn failures can be omitted from error counts, content is logged, tokens/fallback metrics are absent and retention scheduling is not found.","logger.test.ts | persistent-rate-limit.test.ts","Inaccurate dashboards, sensitive log retention and unverifiable remote stdout retention.","lib/logger/logger.ts | lib/ai/assistantCore.ts | lib/ai/ai-query-router.ts | app/superadmin/ai/page.tsx"
"Pruebas y QA","6","7","strong-unit-baseline","Broad unit coverage; audited baseline previously passed 68 files/310 tests plus typecheck and lint; lacks comprehensive HTTP, UI, memory, streaming, adversarial, real-RLS, mobile and Set 01 contract testing.","lib/ai/__tests__/ | lib/voice/__tests__/ | lib/stock-needs/__tests__/ | lib/opportunities/__tests__/ | lib/opportunity-finder/__tests__/","Unit success does not verify deployed endpoints, remote RLS, provider behavior or physical devices.","lib/ai/__tests__/ | lib/voice/__tests__/ | lib/stock-needs/__tests__/ | lib/opportunities/__tests__/ | lib/opportunity-finder/__tests__/ | vitest.config.ts | package.json"
